file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-rest\src\main\java\org\apache\dubbo\samples\rest\impl\facade\UserRestServiceImpl.java,org.apache.dubbo.samples.rest.impl.facade.UserRestServiceImpl,class,14,14,0,14,5,1,0,8,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,19,2,0,2,0,0,8,0,1,3,1,1,0,0,0,18,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-mock\src\main\java\org\apache\dubbo\samples\mock\api\DemoService.java,org.apache.dubbo.samples.mock.api.DemoService,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-local-xml\src\main\java\org\apache\dubbo\samples\metadatareport\local\xml\impl\DemoServiceImpl.java,org.apache.dubbo.samples.metadatareport.local.xml.impl.DemoServiceImpl,class,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,6,0,0,2,0,0,0,0,0,12,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-callback\src\main\java\org\apache\dubbo\samples\callback\impl\CallbackServiceImpl.java,org.apache.dubbo.samples.callback.impl.CallbackServiceImpl,class,3,4,1,3,7,1,0,12,1,0.33333334,1.0,1.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,33,1,2,0,2,0,2,1,2,1,2,5,0,0,1,21,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-group\src\main\java\org\apache\dubbo\samples\group\GroupConsumer.java,org.apache.dubbo.samples.group.GroupConsumer,class,2,2,0,2,3,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,1,0,5,1,5,0,5,2,0,0,0,18,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-spring-boot-hystrix\src\main\java\com\alibaba\dubbo\spring\boot\provider\ProviderApplication.java,com.alibaba.dubbo.spring.boot.provider.ProviderApplication,class,5,6,1,5,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-context\src\main\java\org\apache\dubbo\samples\context\EmbeddedZooKeeper.java,org.apache.dubbo.samples.context.EmbeddedZooKeeper$ServerRunnable,innerclass,3,3,0,3,3,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,1,0,4,0,5,1,4,2,0,0,0,29,2,1
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-metadata-report\dubbo-samples-metadata-report-local-annotaion\src\main\java\org\apache\dubbo\samples\metadatareport\local\annotation\AnnotationConsumer.java,org.apache.dubbo.samples.metadatareport.local.annotation.AnnotationConsumer,class,10,11,1,10,2,1,0,12,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0,0,12,1,5,1,5,0,0,1,0,34,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-mock\src\main\java\org\apache\dubbo\samples\mock\impl\DemoServiceImpl.java,org.apache.dubbo.samples.mock.impl.DemoServiceImpl,class,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,1,0,1,1,0,1,0,1,0,0,0,9,1,0
D:\Desktop\downloader\.\dubbo-samples\dubbo-samples-mock\src\main\java\org\apache\dubbo\samples\mock\MockProvider.java,org.apache.dubbo.samples.mock.MockProvider,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,0,1,0,0,0,0,15,1,0
