file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,class,6,9,3,6,34,3,0,19,99,0.861244,0.21052632,0.61403507,19,1,16,0,0,3,19,0,0,1,11,3,0,2,0,9,3,0,8,162,11,0,7,4,0,9,6,26,4,11,3,0,1,0,267,1,6
D:\Desktop\downloader\.\logging-log4j1\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,class,3,5,2,3,11,1,0,12,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,0,0,3,0,0,2,52,0,1,3,3,0,6,1,10,2,7,3,0,0,0,69,1,5
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,14,11,3,14,1,14,5,6,0.68,0.1,0.1,5,0,2,0,3,0,5,1,0,0,5,1,1,0,0,4,0,0,0,46,1,2,2,0,2,6,10,11,4,8,3,0,0,0,78,1025,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\UnitTestOR.java,org.apache.log4j.test.A,class,1,2,1,1,0,1,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,class,10,36,26,10,27,1,18,8,94,0.8319327,0.15441176,0.24264705,17,0,16,0,1,0,17,1,2,2,7,0,0,0,7,0,0,0,3,87,10,1,4,0,2,5,0,14,2,8,2,0,0,0,171,1025,3
D:\Desktop\downloader\.\logging-log4j1\contribs\SvenReimers\gui\JListView.java,org.apache.log4j.gui.AddAction$AddThread,innerclass,3,3,0,3,6,2,0,5,0,0.16666667,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,1,30,0,2,1,1,0,4,3,5,3,5,3,0,0,0,20,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\UnitTestOR.java,org.apache.log4j.test.B,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\helpers\DateTimeDateFormat.java,org.apache.log4j.helpers.DateTimeDateFormat,class,1,3,2,1,5,4,0,9,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,27,2,0,0,0,0,0,1,3,0,3,1,0,0,0,48,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\Level.java,org.apache.log4j.Level,class,2,25,23,2,20,2,1,4,10,0.0,0.0,0.0,5,4,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,43,19,0,1,0,0,7,0,1,0,1,1,0,0,0,62,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\UnitTestCyclicBuffer.java,org.apache.log4j.test.UnitTestCyclicBuffer,class,7,8,1,7,21,2,0,12,22,0.8333333,0.083333336,0.083333336,8,1,6,0,0,2,9,0,0,0,3,3,0,0,0,3,0,0,1,84,1,8,0,0,3,6,46,25,22,19,2,0,0,0,50,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\helpers\SyslogQuietWriter.java,org.apache.log4j.helpers.SyslogQuietWriter,class,2,3,1,2,4,4,0,1,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,17,0,0,0,0,1,2,0,3,1,2,0,0,0,0,20,1,0
D:\Desktop\downloader\.\logging-log4j1\examples\MyCategory.java,org.apache.log4j.examples.MyCategory,class,4,7,3,4,4,3,0,3,4,0.625,0.16666667,0.16666667,4,1,4,0,0,0,4,0,0,0,2,2,0,1,0,1,0,0,1,16,1,0,0,0,0,2,0,2,2,2,0,0,0,0,50,1,0
D:\Desktop\downloader\.\logging-log4j1\contribs\VolkerMentzner\PluggableHTTPServer.java,com.psibt.framework.net.PluggableHTTPServer$ServerThread,innerclass,3,3,0,3,14,2,0,14,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,2,48,0,2,4,2,1,2,3,13,0,12,5,0,0,0,44,0,1
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\helpers\QuietWriter.java,org.apache.log4j.helpers.QuietWriter,class,2,11,9,2,7,3,2,4,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,31,0,0,1,2,0,4,0,1,1,1,1,0,0,0,34,1,2
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\performance\ListVsVector.java,org.apache.log4j.performance.ListVsVector,class,2,3,1,2,7,1,0,7,0,0.33333334,1.0,1.0,3,3,1,0,0,2,3,0,0,0,4,4,0,0,0,4,0,0,6,57,2,4,1,0,2,12,6,23,8,13,2,0,1,0,48,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\performance\ConcatVsArray.java,org.apache.log4j.performance.ConcatVsArray,class,1,2,1,1,6,1,0,6,1,0.0,0.0,0.0,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,36,0,2,1,1,2,7,10,12,10,9,1,0,0,0,58,1,0
D:\Desktop\downloader\.\logging-log4j1\contribs\VolkerMentzner\HTTPRequestHandler.java,com.psibt.framework.net.HTTPRequestHandler,interface,0,3,3,0,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\Finalize.java,org.apache.log4j.test.Finalize,class,3,4,1,3,12,1,0,16,15,1.0,0.0,0.0,6,6,1,0,0,5,6,0,0,0,1,1,0,0,0,1,0,0,18,54,1,1,3,2,1,7,9,6,3,5,3,0,0,0,30,1,1
