file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\chainsaw\ChainsawStatusBar.java,org.apache.log4j.chainsaw.ChainsawStatusBar$Anonymous4,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,-1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\chainsaw\ChainsawStatusBar.java,org.apache.log4j.chainsaw.ChainsawStatusBar$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,-1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\chainsaw\ChainsawStatusBar.java,org.apache.log4j.chainsaw.ChainsawStatusBar$Anonymous3,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,-1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,class,4,8,4,4,40,3,0,25,114,0.8692308,0.2,0.7157895,20,0,17,0,0,3,20,0,0,1,13,3,1,2,0,10,3,0,3,199,10,0,9,6,0,12,7,33,5,15,3,0,1,0,283,1,6
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\DeadlockTest.java,org.apache.log4j.Deadlock,class,2,5,3,2,3,1,0,3,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,2,2,1,0,0,0,2,1,0,0,13,2,0,0,0,0,1,0,1,1,2,0,0,0,0,10,0,1
D:\Desktop\downloader\.\logging-log4j1\contribs\MarkDouglas\SocketNode2.java,com.systemsunion.LoggingServer.SocketNode2,class,3,5,2,3,11,1,0,12,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,0,0,3,0,0,2,52,0,1,3,3,0,6,1,10,2,7,3,0,0,0,69,1,5
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\chainsaw\ChainsawStatusBar.java,org.apache.log4j.chainsaw.ChainsawStatusBar$Anonymous1,anonymous,0,0,0,0,4,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,1,0,0,3,1,2,2,1,0,0,25,-1,0
D:\Desktop\downloader\.\logging-log4j1\log4jMini\src\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,9,6,3,14,1,6,5,6,0.68,0.1,0.1,5,0,2,0,3,0,5,1,0,0,5,1,1,0,0,4,0,0,0,46,1,2,2,0,2,4,10,11,4,8,3,0,0,0,78,1025,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\multiplex\MultiplexSelectorSkeleton.java,org.apache.log4j.multiplex.MultiplexSelectorSkeleton,class,5,7,2,5,6,1,1,10,2,0.5,0.33333334,0.33333334,4,0,3,0,1,0,4,0,2,0,2,0,0,1,1,0,0,0,1,24,2,1,1,0,0,0,0,6,0,5,1,0,0,0,31,1025,0
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\html\Loop.java,org.apache.log4j.html.Loop,class,4,5,1,4,6,1,0,14,1,0.5,0.0,0.0,2,2,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,1,33,0,1,0,0,0,7,6,7,4,7,2,0,0,0,32,1,4
