file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,class,7,10,3,7,30,3,0,25,40,0.8165681,0.24358974,0.46153846,13,0,10,0,0,3,13,0,0,0,13,5,4,2,0,7,5,0,10,145,7,0,7,4,0,13,5,26,4,13,4,0,1,0,277,1,6
D:\Desktop\downloader\.\logging-log4j1\make\exercise\echo\Echo.java,exercise.echo.Echo,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\helpers\PatternConverter.java,org.apache.log4j.helpers.PatternConverter,class,3,13,10,3,14,1,12,5,6,0.68,0.1,0.1,5,0,2,0,3,0,5,1,0,0,5,1,1,0,0,4,0,0,0,46,1,2,2,0,2,6,10,11,4,8,3,0,0,0,78,1025,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\DefaultCategoryFactory.java,org.apache.log4j.DefaultCategoryFactory,class,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\Shallow.java,org.apache.log4j.test.Shallow,class,4,5,1,4,7,1,0,24,10,0.8,0.0,0.0,5,5,1,0,0,4,5,0,0,0,1,1,0,0,0,1,0,0,12,51,0,0,1,1,0,25,4,4,21,4,1,0,0,0,37,1,16
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\test\UnitTestOR.java,org.apache.log4j.test.A,class,1,2,1,1,0,1,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,class,10,23,13,10,27,1,11,9,86,0.84375,0.14166667,0.23333333,16,0,15,0,1,0,16,1,2,1,8,1,1,0,7,0,1,0,4,87,8,1,4,0,2,6,0,16,2,9,2,0,0,0,184,1025,3
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\or\RendererMap.java,org.apache.log4j.or.RendererMap,class,3,8,5,3,16,1,0,9,6,0.5625,0.39285713,0.53571427,8,0,7,0,0,1,8,0,0,0,2,1,0,0,0,2,0,0,0,50,11,2,7,0,0,0,1,11,0,7,3,0,0,0,143,1,0
D:\Desktop\downloader\.\logging-log4j1\contribs\SvenReimers\gui\JListView.java,org.apache.log4j.gui.AddAction$AddThread,innerclass,3,3,0,3,6,2,0,5,0,0.16666667,1.0,1.0,2,0,1,0,0,1,2,0,0,0,3,0,0,0,0,3,0,0,1,31,0,2,1,1,0,5,3,6,4,5,3,0,0,0,20,0,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\NDC.java,org.apache.log4j.NDC$DiagnosticContext,innerclass,1,1,0,1,2,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,13,0,0,1,0,0,0,0,3,1,2,1,0,0,0,7,10,0
