file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\net\SocketAppender.java,org.apache.log4j.net.SocketAppender,class,6,10,4,6,40,4,0,26,114,0.8692308,0.2,0.7157895,20,0,17,0,0,3,20,0,0,1,13,3,1,2,0,10,3,0,3,202,10,0,9,6,0,12,7,33,5,15,3,0,1,0,284,1,6
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\DeadlockTest.java,org.apache.log4j.Deadlock,class,3,6,3,3,3,1,0,3,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,2,2,1,0,0,0,2,1,0,1,13,2,0,0,0,0,1,0,1,1,2,0,0,0,0,10,0,1
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\joran\action\BadEndAction.java,org.apache.log4j.joran.action.BadEndAction,class,3,4,1,3,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\varia\FallbackErrorHandler.java,org.apache.log4j.varia.FallbackErrorHandler,class,4,4,0,4,7,1,0,0,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,17,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\multiplex\MultiplexSelectorSkeleton.java,org.apache.log4j.multiplex.MultiplexSelectorSkeleton,class,5,8,3,5,6,1,1,10,2,0.5,0.33333334,0.33333334,4,0,3,0,1,0,4,0,2,0,2,0,0,1,1,0,0,0,1,24,2,1,1,0,0,0,0,6,0,5,1,0,0,0,31,1025,0
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\html\Loop.java,org.apache.log4j.html.Loop,class,7,8,1,7,6,1,0,14,1,0.5,0.0,0.0,2,2,1,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,3,33,0,1,0,0,0,7,6,7,4,7,2,0,0,0,32,1,4
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\AppenderSkeleton.java,org.apache.log4j.AppenderSkeleton,class,11,48,37,11,32,2,22,12,142,0.85714287,0.16190477,0.3904762,21,0,18,0,3,0,21,1,4,1,9,0,0,2,7,0,1,0,0,115,15,1,3,1,3,3,0,18,0,10,3,0,0,0,195,1025,3
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\rule\LevelInequalityRule.java,org.apache.log4j.rule.LevelInequalityRule$LessThanEqualsRule,innerclass,3,3,0,3,3,2,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,1,0,0,1,0,1,0,0,0,0,13,8,0
D:\Desktop\downloader\.\logging-log4j1\src\java\org\apache\log4j\varia\LogFilePatternReceiver.java,org.apache.log4j.varia.LogFilePatternReceiver,class,16,19,3,16,82,4,0,77,235,0.9221387,0.15833333,0.65,26,1,14,10,2,0,16,0,0,0,41,20,0,41,0,0,23,0,5,414,21,10,27,7,9,61,29,131,23,90,5,1,0,0,366,1,7
D:\Desktop\downloader\.\logging-log4j1\tests\src\java\org\apache\log4j\xml\SchemaTestCase.java,org.apache.log4j.xml.SchemaTestCase$SchemaEntityResolver,innerclass,4,4,0,4,4,2,0,2,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,18,1,0,1,0,0,1,2,3,0,3,1,0,0,0,30,10,0
