file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,7,8,1,7,11,6,0,27,1,0.45833328,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,8,1,0,8,0,0,7,0,0,128,0,0,5,3,0,11,7,16,3,14,3,2,0,0,78,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\HandshakedataImpl1.java,org.java_websocket.HandshakedataImpl1,class,3,7,4,3,16,1,0,14,18,0.6875,0.36363637,1.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,1,54,7,1,3,0,1,2,1,11,0,7,1,0,0,0,33,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\AutobahnServerTest.java,AutobahnServerTest,class,7,8,1,7,11,3,0,5,28,0.875,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,1,0,1,0,0,0,0,0,47,0,0,0,3,0,4,3,4,1,2,1,0,0,0,36,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\HandshakeBuilder.java,org.java_websocket.HandshakeBuilder,interface,2,11,9,2,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,2,2,0,2,4,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,10,0,0,4,0,0,0,0,0,26,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\Base64.java,org.java_websocket.Base64$InputStream,innerclass,3,3,0,3,28,3,0,5,4,0.5277778,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,9,0,0,9,0,0,0,0,3,113,7,4,3,0,2,2,41,29,1,19,4,0,0,0,109,9,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,4,5,1,4,14,3,0,10,28,0.0,0.0,0.0,8,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,60,0,2,0,4,0,8,2,6,7,4,1,0,0,0,65,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\exeptions\LimitExedeedException.java,org.java_websocket.exeptions.LimitExedeedException,class,1,2,1,1,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\exeptions\InvalidHandshakeException.java,org.java_websocket.exeptions.InvalidHandshakeException,class,1,5,4,1,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\Draft.java,org.java_websocket.Draft,class,11,23,12,11,35,1,2,38,171,0.9736842,0.0,0.0,19,3,18,0,1,0,19,10,0,0,2,1,1,0,1,0,1,0,11,105,9,3,10,0,1,21,13,22,4,17,2,0,1,0,128,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft_75.java,org.java_websocket.drafts.Draft_75,class,10,13,3,10,27,2,1,30,41,0.87142855,0.044444446,0.06666667,10,0,10,0,0,0,10,0,0,0,7,4,4,3,0,0,4,0,4,106,9,1,5,1,1,21,7,23,4,16,3,0,0,0,88,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft_10.java,org.java_websocket.drafts.Draft_10,class,18,23,5,18,86,3,1,57,114,0.875,0.015151516,0.015151516,16,1,12,4,0,0,12,0,0,0,2,0,0,2,0,0,0,0,13,297,32,6,27,6,22,29,77,68,20,51,6,0,1,0,144,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft_76.java,org.java_websocket.drafts.Draft_76,class,10,13,3,10,37,3,0,32,26,0.75,0.0,0.0,8,3,6,2,0,0,6,0,0,0,2,0,0,2,0,0,0,0,14,144,13,2,9,4,9,43,63,53,19,30,2,0,0,0,84,1,0
