file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,6,7,1,6,10,6,0,26,1,0.45833328,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,8,1,0,8,0,0,7,0,0,123,0,0,4,3,0,7,5,13,1,13,3,2,0,0,71,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener,interface,5,7,2,5,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_10.java,net.tootallnate.websocket.drafts.Draft_10$IncompleteException,innerclass,0,0,0,0,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,1,1,0,1,4,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,4,0,0,0,0,0,22,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,2,0,0,0,12,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,3,4,1,3,10,3,0,6,15,0.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,4,0,7,2,3,7,2,1,0,0,0,33,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\Draft.java,net.tootallnate.websocket.Draft$HandshakeState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketClient.java,net.tootallnate.websocket.WebSocketClient,class,7,11,4,7,40,2,0,40,78,0.82010585,0.2720588,0.4852941,21,0,17,4,0,0,17,4,0,0,9,0,0,9,0,0,0,0,2,148,5,2,9,2,2,8,6,36,3,18,4,0,0,0,151,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_75.java,net.tootallnate.websocket.drafts.Draft_75,class,8,11,3,8,23,2,1,26,26,0.875,0.035714287,0.035714287,8,0,8,0,0,0,8,0,0,0,6,4,4,2,0,0,4,0,3,89,8,1,5,0,1,26,8,20,3,17,3,0,0,0,79,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_10.java,net.tootallnate.websocket.drafts.Draft_10,class,13,17,4,13,58,3,0,40,78,0.9230769,0.0,0.0,13,0,9,4,0,0,9,0,0,0,2,1,1,1,0,0,1,0,7,195,26,4,17,4,15,29,52,41,14,33,5,0,1,0,125,1,0
