file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\src\main\example\ServerStressTest.java,ServerStressTest$Anonymous1,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\example\ExampleClient.java,ExampleClient,class,6,10,4,6,9,4,0,5,28,0.0,0.0,0.0,8,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,7,0,1,3,1,0,0,0,0,47,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\server\WebSocketServer.java,org.java_websocket.server.WebSocketServer,class,15,23,8,15,119,4,3,109,1042,0.92419827,0.065539114,0.22198732,49,0,38,5,6,0,44,5,8,0,14,1,1,12,1,0,4,0,13,474,22,7,23,13,5,5,10,45,7,34,10,0,2,0,372,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\test\java\org\java_websocket\util\ByteBufferUtilsTest.java,org.java_websocket.util.ByteBufferUtilsTest,class,3,4,1,3,12,1,0,10,8,0.5625,0.35714287,0.35714287,8,0,8,0,0,0,8,0,0,0,2,2,0,2,0,0,0,0,17,72,0,0,1,3,0,23,44,13,0,13,1,0,0,0,52,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\drafts\Draft_75.java,org.java_websocket.drafts.Draft_75,class,18,20,2,18,31,2,1,31,87,0.91071427,0.021978023,0.032967035,14,0,13,0,1,0,14,0,0,0,8,4,4,1,3,0,5,0,6,127,14,1,6,1,0,24,6,24,4,17,3,0,0,0,104,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\drafts\Draft_76.java,org.java_websocket.drafts.Draft_76,class,17,18,1,17,47,3,0,46,64,0.8888889,0.022222223,0.022222223,12,3,10,2,0,0,10,0,0,0,3,1,0,3,0,0,2,0,17,192,19,2,12,4,9,43,68,59,20,33,3,0,0,0,100,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\util\Base64.java,org.java_websocket.util.Base64,class,4,8,4,4,128,5,0,45,242,0.9107143,0.12987013,0.16450216,28,27,22,6,0,0,22,0,2,0,20,20,8,12,0,0,20,0,33,797,35,8,24,34,64,20,941,147,75,91,5,1,2,0,693,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\test\java\org\java_websocket\framing\AllFramingTests.java,org.java_websocket.framing.AllFramingTests,class,10,11,1,10,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\WebSocketListener.java,org.java_websocket.WebSocketListener,interface,7,9,2,7,17,1,0,0,136,0.0,0.0,0.0,17,0,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\framing\BinaryFrame.java,org.java_websocket.framing.BinaryFrame,class,1,6,5,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\example\SSLClientExample.java,WebSocketChatClient,class,2,3,1,2,5,4,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,3,1,0,1,0,0,0,0,0,21,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\test\java\org\java_websocket\framing\ContinuousFrameTest.java,org.java_websocket.framing.ContinuousFrameTest,class,4,5,1,4,4,1,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,9,1,2,0,2,1,0,0,0,24,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\main\java\org\java_websocket\SSLSocketChannel2.java,org.java_websocket.SSLSocketChannel2,class,2,5,3,2,85,1,0,61,74,0.81,0.4379085,0.8888889,25,0,16,7,2,0,18,0,0,3,12,1,0,0,12,0,0,0,10,260,31,7,33,3,5,3,19,36,0,29,4,0,0,0,178,1,0
