file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,7,8,1,7,10,6,0,26,1,0.45833328,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,8,1,0,8,0,0,7,0,0,123,0,0,4,3,0,7,5,13,1,13,3,2,0,0,72,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener,interface,5,7,2,5,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_10.java,net.tootallnate.websocket.drafts.Draft_10$IncompleteException,innerclass,0,0,0,0,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,1,1,0,1,4,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,4,0,0,0,0,0,22,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,2,0,0,0,12,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,3,4,1,3,10,3,0,6,15,0.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,4,0,7,2,3,7,2,1,0,0,0,33,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\Draft.java,net.tootallnate.websocket.Draft$HandshakeState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketClient.java,net.tootallnate.websocket.WebSocketClient,class,7,11,4,7,40,2,0,40,78,0.82010585,0.2720588,0.4852941,21,0,17,4,0,0,17,4,0,0,9,0,0,9,0,0,0,0,2,148,5,2,9,2,2,8,6,36,3,18,4,0,0,0,151,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_75.java,net.tootallnate.websocket.drafts.Draft_75,class,8,11,3,8,21,2,1,26,26,0.875,0.035714287,0.035714287,8,0,8,0,0,0,8,0,0,0,6,4,4,2,0,0,4,0,3,89,8,1,5,0,1,18,8,20,3,17,3,0,0,0,81,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_10.java,net.tootallnate.websocket.drafts.Draft_10,class,13,18,5,13,73,3,1,47,89,0.85714287,0.0,0.0,14,1,10,4,0,0,10,0,0,0,1,0,0,1,0,0,0,0,9,249,30,6,20,4,20,26,88,64,25,48,6,0,1,0,138,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_76.java,net.tootallnate.websocket.drafts.Draft_76,class,9,12,3,9,33,3,0,32,22,0.625,0.06666667,0.06666667,8,3,6,2,0,0,6,0,0,0,2,0,0,2,0,0,0,0,14,138,14,2,9,3,9,37,62,53,18,29,2,0,0,0,80,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocket.java,net.tootallnate.websocket.WebSocket,class,15,21,6,15,67,1,0,55,8,0.828125,0.42857143,0.72527474,16,0,11,3,0,2,14,0,0,0,20,7,8,12,0,0,9,0,6,273,14,5,24,2,0,23,14,58,9,31,8,0,1,0,245,17,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_17.java,net.tootallnate.websocket.drafts.Draft_17,class,4,6,2,4,3,3,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,3,0,1,0,0,2,1,1,0,1,1,0,0,0,23,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\Framedata.java,net.tootallnate.websocket.Framedata,interface,3,10,7,3,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,1,0
