file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,2,3,1,2,6,7,0,4,0,0.16666667,0.6666667,0.6666667,6,1,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,116,0,0,0,0,0,6,0,1,3,1,0,1,1,0,40,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketClient.java,net.tootallnate.websocket.WebSocketClient,class,5,9,4,5,49,1,1,51,90,0.7883598,0.26666668,0.45833334,21,0,16,5,0,0,16,3,0,0,9,0,0,9,0,0,0,0,10,198,9,5,11,3,18,20,46,63,29,35,4,0,0,0,190,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketDraft.java,net.tootallnate.websocket.WebSocketDraft,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Frame$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,2,0,0,0,11,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener,interface,3,6,3,3,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketServer.java,net.tootallnate.websocket.WebSocketServer,class,5,7,2,5,71,1,1,62,157,0.84782606,0.20779221,0.3939394,23,0,21,1,1,0,22,3,0,0,6,1,0,6,0,0,2,0,7,245,9,8,15,3,9,41,48,66,18,35,5,0,0,0,250,1025,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,3,4,1,3,9,2,0,6,10,0.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,4,0,7,2,3,7,2,1,0,0,0,31,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocket.java,net.tootallnate.websocket.WebSocket,class,3,8,5,3,52,1,0,31,0,0.73749995,0.85714287,1.0,10,0,3,3,0,4,7,0,0,0,16,6,6,10,0,0,7,0,5,154,6,2,24,2,7,6,58,38,41,28,3,0,0,0,208,17,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Frame,innerclass,2,2,0,2,9,6,0,24,0,0.21428572,1.0,1.0,2,0,2,0,0,0,2,0,0,0,7,1,0,7,0,0,6,0,0,88,0,0,4,3,0,7,5,11,1,11,3,1,0,0,63,10,0
