file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ServerStressTest.java,ServerStressTest$Anonymous1,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\framing\Framedata.java,org.java_websocket.framing.Framedata$Opcode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\AutobahnServerTest.java,AutobahnServerTest,class,6,7,1,6,11,3,0,5,28,0.875,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,1,0,1,0,0,0,0,0,47,0,0,0,3,0,4,3,4,1,2,1,0,0,0,39,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft.java,org.java_websocket.drafts.Draft,class,17,30,13,17,36,1,2,41,165,0.97368425,0.01754386,0.01754386,19,3,18,0,1,0,19,10,0,0,6,5,3,2,1,0,1,0,14,120,9,3,10,0,3,22,19,29,5,23,2,0,2,0,136,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\exeptions\LimitExedeedException.java,org.java_websocket.exeptions.LimitExedeedException,class,1,2,1,1,2,4,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\util\Base64.java,org.java_websocket.util.Base64$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0,0,0,1,0,1,1,0,0,0,8,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft_75.java,org.java_websocket.drafts.Draft_75,class,16,20,4,16,33,2,1,34,74,0.905983,0.025641026,0.03846154,13,0,12,0,1,0,13,0,0,0,9,4,4,2,3,0,5,0,6,138,15,1,6,1,0,22,6,29,4,19,3,0,0,0,94,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\WebSocketServer.java,org.java_websocket.WebSocketServer$WebsocketWriteTask,innerclass,2,2,0,2,3,1,0,3,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,20,1,0,0,1,0,0,0,1,0,1,1,0,0,0,16,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\drafts\Draft_76.java,org.java_websocket.drafts.Draft_76,class,17,20,3,17,46,3,0,44,53,0.87878793,0.027777778,0.027777778,11,3,9,2,0,0,9,0,0,0,3,1,0,3,0,0,2,0,17,186,19,2,12,4,9,43,66,58,19,32,3,0,0,0,97,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\WebSocketClient.java,org.java_websocket.WebSocketClient,class,10,18,8,10,64,2,2,60,195,0.8375001,0.28923076,0.5846154,30,0,25,4,1,0,26,4,7,0,8,0,0,8,0,0,1,0,4,232,13,3,14,7,1,7,2,29,3,18,5,0,0,0,196,1025,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\util\Base64.java,org.java_websocket.util.Base64,class,4,8,4,4,128,5,0,45,242,0.9107143,0.12987013,0.16450216,28,27,22,6,0,0,22,0,2,0,20,20,8,12,0,0,20,0,33,799,35,8,24,34,64,20,946,158,75,92,5,1,2,0,693,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\WebSocketListener.java,org.java_websocket.WebSocketListener,interface,7,9,2,7,12,1,0,0,66,0.0,0.0,0.0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\org\java_websocket\exeptions\InvalidFrameException.java,org.java_websocket.exeptions.InvalidFrameException,class,1,5,4,1,4,4,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,15,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\AutobahnClientTest.java,AutobahnClientTest,class,6,7,1,6,28,3,0,20,21,0.0,0.0,0.0,7,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,137,0,1,6,6,0,35,8,31,8,16,7,0,0,0,102,1,0
