file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,2,3,1,2,5,7,0,3,0,0.2,0.6,0.6,5,1,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,99,0,0,0,0,0,5,0,1,3,1,0,1,1,0,35,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketClient.java,net.tootallnate.websocket.WebSocketClient,class,6,10,4,6,35,1,1,45,47,0.77777785,0.30769232,0.4945055,15,0,14,1,0,0,14,3,0,0,6,0,0,6,0,0,0,0,10,140,6,5,8,1,17,18,44,47,27,34,5,0,1,0,163,1025,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Frame$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,2,0,0,0,11,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener,interface,3,6,3,3,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketServer.java,net.tootallnate.websocket.WebSocketServer,class,5,7,2,5,61,1,1,56,134,0.8285715,0.2,0.4105263,21,0,19,1,1,0,20,3,0,0,5,1,0,5,0,0,2,0,7,217,8,7,15,1,9,41,53,70,18,35,4,0,0,0,236,1025,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,3,4,1,3,9,2,0,6,10,0.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,4,0,7,2,3,7,2,1,0,0,0,31,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocket.java,net.tootallnate.websocket.WebSocket,class,3,8,5,3,41,1,0,22,0,0.6666667,1.0,1.0,8,0,3,3,0,2,5,0,0,0,12,6,6,6,0,0,7,0,5,136,1,0,23,1,7,4,80,54,40,24,2,0,0,0,178,17,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketClient.java,net.tootallnate.websocket.WebSocketClient$Draft,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener$Draft,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Frame,innerclass,2,2,0,2,7,6,0,23,0,0.1,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,0,0,5,0,0,4,0,0,75,0,0,3,2,0,6,4,9,1,9,3,1,0,0,57,10,0
