file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,class,7,8,1,7,11,6,0,27,1,0.45833328,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,8,1,0,8,0,0,7,0,0,128,0,0,5,3,0,11,7,16,3,14,3,2,0,0,78,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\WebSocketListener.java,net.tootallnate.websocket.WebSocketListener,interface,6,8,2,6,11,1,0,0,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\drafts\Draft_10.java,net.tootallnate.websocket.drafts.Draft_10$IncompleteException,innerclass,0,0,0,0,2,2,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0
D:\Desktop\downloader\.\Java-WebSocket\example\AutobahnServerTest.java,AutobahnServerTest,class,6,7,1,6,11,3,0,5,28,0.875,0.0,0.0,8,1,8,0,0,0,8,0,0,0,1,1,0,1,0,0,0,0,0,46,0,0,0,3,0,3,3,4,1,2,1,0,0,0,30,1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous2,anonymous,1,1,0,1,4,1,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,8,0,0,4,0,0,0,0,0,21,-1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\Base64.java,net.tootallnate.websocket.Base64$Anonymous1,anonymous,0,0,0,0,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,1,0,0,0,0,1,0,1,1,0,0,0,8,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\Desktop\downloader\.\Java-WebSocket\example\ChatServer.java,ChatServer,class,3,4,1,3,11,3,0,7,15,0.0,0.0,0.0,6,1,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,52,0,1,0,4,0,7,2,6,7,4,1,0,0,0,40,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\Draft.java,net.tootallnate.websocket.Draft$HandshakeState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\Desktop\downloader\.\Java-WebSocket\src\net\tootallnate\websocket\exeptions\LimitExedeedException.java,net.tootallnate.websocket.exeptions.LimitExedeedException,class,1,2,1,1,4,4,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
