file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\BeanProcessorTest.java,org.apache.commons.dbutils.BeanProcessorTest,class,7,7,0,7,3,3,0,11,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,46,0,1,1,0,0,5,5,10,0,8,1,0,1,0,35,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\MockResultSet.java,org.apache.commons.dbutils.MockResultSet,class,2,5,3,2,60,1,0,39,31,0.69736844,0.35833332,0.65833336,19,1,3,3,13,0,16,0,0,0,4,0,0,4,0,0,0,0,13,197,34,1,11,7,10,22,22,22,13,17,2,0,0,0,102,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\BeanHandlerTest.java,org.apache.commons.dbutils.handlers.BeanHandlerTest,class,4,4,0,4,2,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0,4,0,0,0,0,20,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\ColumnListHandlerTest.java,org.apache.commons.dbutils.handlers.ColumnListHandlerTest,class,3,3,0,3,4,3,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,7,7,8,0,8,0,0,0,0,24,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetMockClob,class,0,1,1,0,13,1,0,0,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,0,0,0,1,5,0,0,0,0,0,0,0,32,0,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetTest,class,8,8,0,8,48,3,0,102,0,0.0,1.0,1.0,42,0,42,0,0,0,42,0,0,0,2,0,0,2,0,0,0,0,32,475,0,2,2,1,0,114,167,51,0,45,1,0,0,0,101,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\BeanProcessor.java,org.apache.commons.dbutils.BeanProcessor,class,3,6,3,3,74,1,0,53,43,0.85,0.0,0.0,10,0,3,4,3,0,7,0,0,0,2,2,0,1,1,0,2,0,3,199,30,4,10,3,3,16,16,29,8,22,4,0,0,0,263,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\BeanListHandler.java,org.apache.commons.dbutils.handlers.BeanListHandler,class,3,4,1,3,3,1,0,1,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,1,0,0,0,0,0,0,2,0,2,0,0,0,0,54,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\BasicRowProcessor.java,org.apache.commons.dbutils.BasicRowProcessor$CaseInsensitiveHashMap,innerclass,1,1,0,1,6,3,0,14,0,0.6,0.6,0.6,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,29,4,1,0,0,0,0,1,9,0,9,1,0,0,0,86,10,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\MapHandler.java,org.apache.commons.dbutils.handlers.MapHandler,class,2,3,1,2,4,1,0,2,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,50,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\ScalarHandler.java,org.apache.commons.dbutils.handlers.ScalarHandler,class,1,2,1,1,7,1,0,3,0,0.4,0.33333334,0.5,5,0,4,1,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,30,3,0,1,0,0,0,2,2,0,2,2,0,0,0,62,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest$Anonymous3,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest$Anonymous2,anonymous,0,0,0,0,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,1,1,2,1,1,1,2,0,0,0,19,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\MapListHandler.java,org.apache.commons.dbutils.handlers.MapListHandler,class,2,3,1,2,3,2,0,1,1,0.33333334,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,1,0,0,13,1,0,0,0,0,0,0,1,0,1,0,0,0,0,42,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\AbstractListHandler.java,org.apache.commons.dbutils.handlers.AbstractListHandler,class,3,7,4,3,3,1,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,1,1,0,0,0,40,1025,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\QueryRunner.java,org.apache.commons.dbutils.QueryRunner,class,5,8,3,5,56,1,2,45,441,0.87096775,0.025806451,0.032258064,31,0,24,0,7,0,31,0,0,0,2,0,0,1,1,0,1,0,5,263,21,5,7,10,0,17,10,51,12,31,4,0,0,0,254,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\MockResultSetMetaData.java,org.apache.commons.dbutils.MockResultSetMetaData,class,2,5,3,2,10,1,0,7,0,0.125,1.0,1.0,4,1,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,4,43,7,0,1,0,2,8,5,9,4,5,1,0,0,0,35,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryRunnerTest.java,org.apache.commons.dbutils.QueryRunnerTest$NoOpFillStatement,innerclass,1,1,0,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,2,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\BaseTestCase.java,org.apache.commons.dbutils.BaseTestCase,class,4,21,17,4,2,2,16,5,0,0.7222222,1.0,1.0,2,0,0,0,2,0,2,0,0,0,9,7,0,4,5,0,7,0,5,19,1,0,0,0,0,18,6,11,0,9,0,0,0,0,61,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\MapHandlerTest.java,org.apache.commons.dbutils.handlers.MapHandlerTest,class,3,3,0,3,2,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,4,0,4,0,0,0,0,20,1,0
