file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\QueryRunnerTest.java,org.apache.commons.dbutils2.QueryRunnerTest,class,4,4,0,4,21,1,0,20,0,0.3809524,1.0,1.0,21,0,21,0,0,0,21,0,0,0,3,0,0,0,0,3,0,0,0,74,0,0,0,0,0,17,4,1,0,3,0,0,0,0,30,1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\wrappers\SqlNullCheckedResultSet.java,org.apache.commons.dbutils2.wrappers.SqlNullCheckedResultSet,class,3,6,3,3,55,1,0,14,858,0.9395553,0.023188407,0.023188407,45,1,45,0,0,0,46,0,0,0,25,3,0,25,0,0,4,0,3,182,24,1,6,0,1,2,11,54,1,33,2,0,0,0,154,1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\AsyncExecutor.java,org.apache.commons.dbutils2.AsyncExecutor$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\AsyncExecutor.java,org.apache.commons.dbutils2.AsyncExecutor$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\handlers\BeanListHandler.java,org.apache.commons.dbutils2.handlers.BeanListHandler,class,3,4,1,3,3,1,0,1,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,1,0,0,0,0,0,0,2,0,2,0,0,0,0,58,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\BatchExecutorTest.java,org.apache.commons.dbutils2.BatchExecutorTest,class,6,7,1,6,3,1,0,13,0,0.22222222,1.0,1.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,0,0,0,24,0,0,0,0,0,1,12,2,0,4,0,0,0,0,25,1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\AsyncExecutor.java,org.apache.commons.dbutils2.AsyncExecutor$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\handlers\AbstractListHandler.java,org.apache.commons.dbutils2.handlers.AbstractListHandler,class,3,7,4,3,3,1,0,3,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,1,1,0,0,0,50,1025,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\AsyncExecutor.java,org.apache.commons.dbutils2.AsyncExecutor$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\GenerousBeanProcessor.java,org.apache.commons.dbutils2.GenerousBeanProcessor,class,2,3,1,2,8,2,0,8,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,1,2,2,0,0,2,4,9,1,7,3,0,0,0,38,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\BaseResultSetHandlerTestCase.java,org.apache.commons.dbutils2.BaseResultSetHandlerTestCase,class,4,4,0,4,2,4,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,10,0,1,0,1,1,0,1,0,21,17,0
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\handlers\BeanHandlerTest.java,org.apache.commons.dbutils2.handlers.BeanHandlerTest,class,4,4,0,4,2,3,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,4,0,4,0,0,0,0,20,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\handlers\ArrayListHandlerTest.java,org.apache.commons.dbutils2.handlers.ArrayListHandlerTest,class,3,3,0,3,2,3,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,6,6,8,0,6,0,0,0,0,26,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\java\org\apache\commons\dbutils2\AbstractExecutorTest.java,org.apache.commons.dbutils2.AbstractExecutorTest,class,5,6,1,5,7,1,0,17,0,0.0952381,1.0,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,4,51,0,0,0,0,0,36,30,1,0,3,0,1,0,0,37,1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\AsyncExecutor.java,org.apache.commons.dbutils2.AsyncExecutor$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Desktop\downloader\.\commons-dbutils\src\main\java\org\apache\commons\dbutils2\QueryExecutor.java,org.apache.commons.dbutils2.QueryExecutor,class,4,10,6,4,6,2,0,10,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,36,2,0,1,2,0,1,0,3,0,2,3,0,0,0,61,0,0
