file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\BeanProcessorTest.java,org.apache.commons.dbutils.BeanProcessorTest,class,3,4,1,3,3,3,0,5,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,17,0,1,0,0,0,0,3,4,0,3,1,0,0,0,22,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\MockResultSet.java,org.apache.commons.dbutils.MockResultSet,class,2,5,3,2,60,1,0,38,31,0.69736844,0.35833332,0.65833336,19,1,3,3,13,0,16,0,0,0,4,0,0,4,0,0,0,0,11,191,34,1,11,7,11,22,22,20,13,16,2,0,0,0,99,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\TestBean.java,org.apache.commons.dbutils.TestBean,class,0,4,4,0,21,1,0,0,190,0.9047619,0.04761905,0.04761905,21,0,21,0,0,0,21,0,0,0,10,0,0,10,0,0,0,0,0,75,10,0,0,0,0,3,4,20,0,10,0,0,0,0,67,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\ArrayListHandler.java,org.apache.commons.dbutils.handlers.ArrayListHandler,class,2,3,1,2,3,2,0,1,1,0.33333334,0.33333334,0.33333334,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,1,0,0,0,0,40,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\ProxyFactoryTest.java,org.apache.commons.dbutils.ProxyFactoryTest,class,2,3,1,2,8,3,0,9,0,0.125,0.75,0.75,8,0,8,0,0,0,8,0,0,0,1,1,0,1,0,0,1,0,7,32,0,0,0,0,0,0,0,1,0,1,0,1,0,0,33,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\KeyedHandler.java,org.apache.commons.dbutils.handlers.KeyedHandler,class,3,5,2,3,10,1,0,8,22,0.75,0.10714286,0.14285715,8,0,5,0,3,0,8,0,0,0,3,0,0,0,3,0,0,0,0,36,4,1,1,0,1,0,1,7,0,4,1,0,0,0,146,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\BeanHandlerTest.java,org.apache.commons.dbutils.handlers.BeanHandlerTest,class,4,5,1,4,3,3,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,0,4,0,4,0,0,0,0,22,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\ColumnListHandlerTest.java,org.apache.commons.dbutils.handlers.ColumnListHandlerTest,class,3,4,1,3,5,3,0,7,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,7,7,8,0,8,0,0,0,0,25,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetMockClob,class,0,1,1,0,13,1,0,0,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,0,0,0,1,5,0,0,0,0,0,0,0,32,0,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\MapListHandlerTest.java,org.apache.commons.dbutils.handlers.MapListHandlerTest,class,3,4,1,3,4,3,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,6,0,7,0,6,1,0,0,0,28,1,0
