file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\MockResultSet.java,org.apache.commons.dbutils.MockResultSet,class,2,5,3,2,33,1,0,22,36,0.7291667,0.18181819,0.5090909,12,1,3,1,8,0,11,0,0,0,4,0,0,4,0,0,0,0,2,97,20,1,5,0,6,9,11,16,3,12,2,0,0,0,70,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\TestBean.java,org.apache.commons.dbutils.TestBean,class,0,3,3,0,19,1,0,0,153,0.8947368,0.05263158,0.05263158,19,0,19,0,0,0,19,0,0,0,9,0,0,9,0,0,0,0,0,68,9,0,0,0,0,3,3,18,0,9,0,0,0,0,60,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\ArrayListHandler.java,org.apache.commons.dbutils.handlers.ArrayListHandler,class,3,4,1,3,4,1,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,17,1,1,0,0,0,0,0,3,0,2,1,0,0,0,56,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\ProxyFactoryTest.java,org.apache.commons.dbutils.ProxyFactoryTest,class,2,3,1,2,8,3,0,9,0,0.125,0.75,0.75,8,0,8,0,0,0,8,0,0,0,1,1,0,1,0,0,1,0,7,32,0,0,0,0,0,0,0,1,0,1,0,1,0,0,35,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\BeanHandlerTest.java,org.apache.commons.dbutils.handlers.BeanHandlerTest,class,4,5,1,4,3,3,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,4,0,4,0,4,0,0,0,0,24,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetMockClob,class,0,1,1,0,11,1,0,0,55,0.0,0.0,0.0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,0,0,0,1,5,0,0,0,0,0,0,0,31,0,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\MapListHandlerTest.java,org.apache.commons.dbutils.handlers.MapListHandlerTest,class,3,4,1,3,4,3,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,6,0,7,0,6,1,0,0,0,30,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\QueryLoaderTest.java,org.apache.commons.dbutils.QueryLoaderTest,class,2,3,1,2,5,3,0,6,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,1,20,0,0,2,1,0,3,0,5,0,5,1,0,0,0,36,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetTest,class,8,9,1,8,46,3,0,103,0,0.022727273,0.95454544,0.95454544,44,0,44,0,0,0,44,0,0,0,2,0,0,2,0,0,0,0,32,473,0,2,0,0,0,114,168,48,0,44,1,0,0,0,97,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\ResultSetIterator.java,org.apache.commons.dbutils.ResultSetIterator,class,2,3,1,2,8,1,0,5,0,0.3,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,1,35,4,0,0,3,0,0,0,5,0,2,1,0,0,0,70,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\RowProcessor.java,org.apache.commons.dbutils.RowProcessor,interface,0,9,9,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\handlers\ArrayHandlerTest.java,org.apache.commons.dbutils.handlers.ArrayHandlerTest,class,3,4,1,3,3,3,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,3,4,0,4,0,0,0,0,24,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\BeanListHandler.java,org.apache.commons.dbutils.handlers.BeanListHandler,class,3,4,1,3,3,1,0,2,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,1,14,1,0,0,0,0,0,0,5,0,2,0,0,0,0,58,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSet.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSet,class,3,6,3,3,50,1,0,10,858,0.9370368,0.023188407,0.023188407,45,1,45,0,0,0,46,0,0,0,24,2,0,24,0,0,3,0,1,174,23,1,1,0,1,2,8,51,1,30,2,0,0,0,139,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\wrappers\SqlNullCheckedResultSetTest.java,org.apache.commons.dbutils.wrappers.SqlNullCheckedResultSetMockRef,class,0,1,1,0,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\BasicRowProcessor.java,org.apache.commons.dbutils.BasicRowProcessor$CaseInsensitiveHashMap,innerclass,1,1,0,1,6,3,0,12,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22,4,1,0,0,0,0,0,3,0,3,1,0,0,0,37,10,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\MapHandler.java,org.apache.commons.dbutils.handlers.MapHandler,class,3,4,1,3,4,1,0,3,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,13,1,0,0,0,0,0,0,2,0,1,0,0,0,0,51,1,0
D:\Desktop\downloader\.\commons-dbutils\src\test\org\apache\commons\dbutils\BasicRowProcessorTest.java,org.apache.commons.dbutils.BasicRowProcessorTest,class,4,5,1,4,8,3,0,22,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,1,67,0,3,0,0,0,19,13,12,0,9,1,0,0,0,34,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\ScalarHandler.java,org.apache.commons.dbutils.handlers.ScalarHandler,class,1,2,1,1,6,1,0,3,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,26,3,0,1,0,0,0,1,4,0,2,2,0,0,0,62,1,0
D:\Desktop\downloader\.\commons-dbutils\src\java\org\apache\commons\dbutils\handlers\MapListHandler.java,org.apache.commons.dbutils.handlers.MapListHandler,class,3,4,1,3,4,1,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,17,1,1,0,0,0,0,0,3,0,2,1,0,0,0,42,1,0
