file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\CallTest.java,retrofit2.CallTest$Anonymous15$Anonymous16,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,-1,0
D:\Desktop\downloader\.\retrofit\retrofit-adapters\rxjava\src\main\java\retrofit2\adapter\rxjava\CompletableHelper.java,retrofit2.adapter.rxjava.CompletableHelper,class,5,6,1,5,1,1,0,0,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,2,0,7,16,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\RequestBuilderTest.java,retrofit2.RequestBuilderTest$74Example,innerclass,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\CallTest.java,retrofit2.CallTest$Anonymous11$Anonymous12,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,-1,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\RetrofitTest.java,retrofit2.RetrofitTest$Anonymous14,anonymous,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
D:\Desktop\downloader\.\retrofit\retrofit-converters\protobuf\src\test\java\retrofit2\converter\protobuf\PhoneProtos.java,retrofit2.converter.protobuf.PhoneProtos$PhoneOrBuilder,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\Desktop\downloader\.\retrofit\retrofit-converters\gson\src\test\java\retrofit2\converter\gson\GsonConverterFactoryTest.java,retrofit2.converter.gson.GsonConverterFactoryTest$Service,interface,5,5,0,5,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\helpers\ToStringConverterFactory.java,retrofit2.helpers.ToStringConverterFactory,class,7,12,5,7,4,2,0,2,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,25,4,0,0,0,0,1,0,1,0,1,1,2,0,0,22,1,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\RequestBuilderTest.java,retrofit2.RequestBuilderTest$70Example,innerclass,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\RequestBuilderTest.java,retrofit2.RequestBuilderTest$78Example,innerclass,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0
D:\Desktop\downloader\.\retrofit\retrofit\src\test\java\retrofit2\CallTest.java,retrofit2.CallTest$Anonymous13$Anonymous14,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,1,0,0,0,0,1,0,0,0,9,-1,0
