file,class,method,variable,usage
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,"ChatClient/2[java.net.URI,javax.swing.JTextArea]",uri,1
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,"ChatClient/2[java.net.URI,javax.swing.JTextArea]",ta,2
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,onMessage/1[java.lang.String],message,1
D:\Desktop\downloader\.\Java-WebSocket\example\ChatClient.java,ChatClient,main/1[java.lang.String[]],args,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,onClose/1[WebSocket],conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,"onHandshakeRecieved/3[WebSocket,java.lang.String,byte[]]",handshake,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,"onHandshakeRecieved/3[WebSocket,java.lang.String,byte[]]",conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,"onHandshakeRecieved/3[WebSocket,java.lang.String,byte[]]",key3,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,"onMessage/2[WebSocket,java.lang.String]",conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,"onMessage/2[WebSocket,java.lang.String]",message,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketListener.java,WebSocketListener,onOpen/1[WebSocket],conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"onClientMessage/2[WebSocket,java.lang.String]",conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"onClientMessage/2[WebSocket,java.lang.String]",message,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[java.util.Set<WebSocket>,java.lang.String]",c,2
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[java.util.Set<WebSocket>,java.lang.String]",text,1
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[java.util.Set<WebSocket>,java.lang.String]",connections,3
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,onClientClose/1[WebSocket],conn,0
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[WebSocket,java.lang.String]",c,2
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[WebSocket,java.lang.String]",connection,2
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"sendToAllExcept/2[WebSocket,java.lang.String]",text,1
D:\Desktop\downloader\.\Java-WebSocket\src\WebSocketServer.java,WebSocketServer,"WebSocketServer/2[int,WebSocketListener.Draft]",port,1
